id-clube,nome-clube,id-liga,nome-liga
19719,SALOON SP,111,Suprema EU
31801,Aces Cracked,111,Suprema EU
49739,RateSupra,111,Suprema EU
20095,Pd Poker II,106,Suprema
49182,bluff master,132,Suprema Asia
1619944,BANKROLL POKER 1,107,Liga Principal
40968,BRO.POKER,111,Suprema EU
43775,POKER SKILL,111,Suprema EU
32940,onlyfolds.cc,111,Suprema EU
21851,Lets Poker | H2,106,Suprema
31094,DSG Miami Ballers,135,Supreme Poker
44177,NORTH ACE,128,Suprema Union
41902,Jokers Betclub,128,Suprema Union
34120,VIP ACES RUS,111,Suprema EU
48775,5BET,137,Suprema A
45362,Octopus,111,Suprema EU
42299,MAAK,132,Suprema Asia
43663,One Poker,132,Suprema Asia
45137,Dragon Poker,111,Suprema EU
36412,ludoland,111,Suprema EU
39718,INCEPTION,111,Suprema EU
